Count of jobtitle,,
Row Labels,Total,probablity
blacksmith/farrier (army),1,1.56311E-05
blacksmiths hammerman,1,1.56311E-05
blacksmiths striker,5,7.81555E-05
blade forger,1,1.56311E-05
blade maker,2,3.12622E-05
blade striker,2,3.12622E-05
bladeforger,1,1.56311E-05
blanket maker,1,1.56311E-05
blanket manufacturer,1,1.56311E-05
blanket manufacturer (partner in firm),1,1.56311E-05
blast furnace manager,1,1.56311E-05
blast furnaceman,3,4.68933E-05
bleacher,26,0.000406409
bleacher and finisher,1,1.56311E-05
bleachfield carter,1,1.56311E-05
bleachwork shirt dresser,1,1.56311E-05
blind maker,2,3.12622E-05
blind makers fitter,1,1.56311E-05
blindmaker,2,3.12622E-05
block & mast maker,1,1.56311E-05
block & mastmaker,1,1.56311E-05
block and mast maker,4,6.25244E-05
block cutter,7,0.000109418
block cutter [probably silk industry],1,1.56311E-05
block maker,3,4.68933E-05
block minder,1,1.56311E-05
block printer,9,0.00014068
block printer on cotton,1,1.56311E-05
blockcutter,2,3.12622E-05
blocker,3,4.68933E-05
blockmaker,3,4.68933E-05
blockmaker (for ships rigging),1,1.56311E-05
blue dyer,2,3.12622E-05
board of trade surveyor,1,1.56311E-05
board of works foreman,1,1.56311E-05
boarding house assistant,3,4.68933E-05
boarding house keeper,19,0.000296991
boarding school cook,1,1.56311E-05
boarding school owner,1,1.56311E-05
boarding school proprietor,1,1.56311E-05
boarding-house keeper,1,1.56311E-05
boat builder,36,0.00056272
boat builder / ship carpenter,1,1.56311E-05
boat gauger,2,3.12622E-05
boat hirer,1,1.56311E-05
boat maker,2,3.12622E-05
boat-builder,3,4.68933E-05
boat-wright,2,3.12622E-05
boatbuilder,7,0.000109418
boatman,70,0.001094177
boatman  (- coastguard service,1,1.56311E-05
boatman (canal),2,3.12622E-05
boatmaster,1,1.56311E-05
boatsman,1,1.56311E-05
boatswain,2,3.12622E-05
boatswain - merchant navy,1,1.56311E-05
boatwoman,1,1.56311E-05
boatwright,2,3.12622E-05
bobber,1,1.56311E-05
bobbin and carriage hand,1,1.56311E-05
bobbin girl in cotton factory,1,1.56311E-05
bobbin maker,1,1.56311E-05
bobbin manufacturer,2,3.12622E-05
bobbin turner,9,0.00014068
bobbin winder,2,3.12622E-05
bobbing turner,1,1.56311E-05
bodice maker,1,1.56311E-05
body coach maker,2,3.12622E-05
"body guard, foriegn office",1,1.56311E-05
body maker,1,1.56311E-05
boiler fireman at alkali works,1,1.56311E-05
boiler maker,60,0.000937866
boiler maker - engineer,1,1.56311E-05
boiler maker at shipyard,1,1.56311E-05
boiler makers lab,1,1.56311E-05
boiler plasterer,1,1.56311E-05
boiler repairer,1,1.56311E-05
boiler rivetter,1,1.56311E-05
boiler scaler,1,1.56311E-05
boiler setting engineer,1,1.56311E-05
boiler smith (railway),1,1.56311E-05
boiler stoker,1,1.56311E-05
boiler works smith,1,1.56311E-05
boilermaker,54,0.00084408
boilermaker (shipping),1,1.56311E-05
boilermaker in hm dockyard,1,1.56311E-05
boilermakers labourer,2,3.12622E-05
boilerman at colliery,1,1.56311E-05
boilersmith,6,9.37866E-05
boilersmith/maker,1,1.56311E-05
boilerworks labourer,2,3.12622E-05
bolt & screw maker,1,1.56311E-05
bolt and nut manufacturer,1,1.56311E-05
bolt forger,1,1.56311E-05
bolt maker,4,6.25244E-05
bolt manufacturer,1,1.56311E-05
boltmaker,1,1.56311E-05
bombadier - royal artillery,1,1.56311E-05
bombadier - royal field artillery,2,3.12622E-05
"bombadier, royal field artillery",1,1.56311E-05
"bombadier, royal garrison artillery",1,1.56311E-05
bombardier,1,1.56311E-05
bombardier in rfa,1,1.56311E-05
bombardier in royal marine artillery,2,3.12622E-05
bombardier r.a.,1,1.56311E-05
bombay artillery,1,1.56311E-05
bonded warehouseman,1,1.56311E-05
bone cutter,1,1.56311E-05
bone merchant & boiler,1,1.56311E-05
bone setter,1,1.56311E-05
"bone setter, masseur & joint specialist",1,1.56311E-05
bone turner,1,1.56311E-05
bonesetter,1,1.56311E-05
bonnet blocker,3,4.68933E-05
bonnet maker,6,9.37866E-05
bonnet sewer,2,3.12622E-05
book binder,18,0.00028136
book binder at print works,1,1.56311E-05
book buyer,1,1.56311E-05
book finisher,1,1.56311E-05
book folder,8,0.000125049
book hawker,2,3.12622E-05
book keeper,61,0.000953497
book keeper (commercial),1,1.56311E-05
book keeper (deceased),1,1.56311E-05
book keeper (timber merchants),1,1.56311E-05
book keeper (wine and spirits merchant),1,1.56311E-05
book keeper and accounts clerk,1,1.56311E-05
book keeper and wages clerk,1,1.56311E-05
book keeper at laundry,1,1.56311E-05
book keeper at warehouse,1,1.56311E-05
book keeper in accountant's office,1,1.56311E-05
book keeper in coal mine,1,1.56311E-05
book keeper stenographer,1,1.56311E-05
"book keeper, dry goods store",1,1.56311E-05
"book keeper, grocers",1,1.56311E-05
"book keeper, hotel",1,1.56311E-05
book keeping clerk - library assistant,1,1.56311E-05
book maker,3,4.68933E-05
book printer,1,1.56311E-05
book publisher,1,1.56311E-05
book tranter,1,1.56311E-05
book-keeper,4,6.25244E-05
book-keeper (carting agent's),1,1.56311E-05
book-keeper (draper's shop),1,1.56311E-05
bookbinder,51,0.000797186
bookbinder & stationer,1,1.56311E-05
bookbinder finisher,1,1.56311E-05
bookbinders finisher,1,1.56311E-05
bookeeper,1,1.56311E-05
bookfolder,3,4.68933E-05
booking clerk,1,1.56311E-05
booking clerk railway company,1,1.56311E-05
bookkeeper,38,0.000593982
bookkeeper (iron tube works),1,1.56311E-05
bookkeeper and copying clerk,1,1.56311E-05
bookkeeper/accountant,1,1.56311E-05
bookmaker,1,1.56311E-05
bookmaker (books),1,1.56311E-05
bookmaker's runner,1,1.56311E-05
bookmakers assistant,1,1.56311E-05
bookminder,2,3.12622E-05
bookseller,31,0.000484564
bookseller / stationer's assistant,1,1.56311E-05
bookseller & newsagent,1,1.56311E-05
bookseller & paper dealer,1,1.56311E-05
bookseller and stationer,2,3.12622E-05
booksellers assistant,1,1.56311E-05
booksellers asst,1,1.56311E-05
bookstall manager,2,3.12622E-05
boot & shoe dealer,1,1.56311E-05
boot & shoe factory worker,1,1.56311E-05
boot & shoe machinist,1,1.56311E-05
boot & shoe maker,20,0.000312622
boot & shoe operative,1,1.56311E-05
